,FIPS,2000,2004,2008,2012,2016,party2000,party2004,party2008,party2012,party2016,Switch_2000_2004,Switch_2004_2008,Switch_2008_2012,Switch_2012_2016,county,state
149,8033.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Dolores,Colorado
150,8035.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Douglas,Colorado
151,8039.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Elbert,Colorado
152,8041.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,El Paso,Colorado
153,8043.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Fremont,Colorado
154,8045.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Garfield,Colorado
155,8049.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Grand,Colorado
156,8053.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Hinsdale,Colorado
157,8057.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Jackson,Colorado
158,8061.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Kiowa,Colorado
159,8063.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Kit Carson,Colorado
160,8073.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Lincoln,Colorado
161,8075.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Logan,Colorado
162,8077.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Mesa,Colorado
163,8079.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Mineral,Colorado
164,8081.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Moffat,Colorado
165,8083.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Montezuma,Colorado
166,8085.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Montrose,Colorado
167,8087.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Morgan,Colorado
168,8089.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Otero,Colorado
169,8093.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Park,Colorado
170,8095.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Phillips,Colorado
171,8099.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Prowers,Colorado
172,8103.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Rio Blanco,Colorado
173,8105.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Rio Grande,Colorado
174,8115.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Sedgwick,Colorado
175,8119.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Teller,Colorado
176,8121.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Washington,Colorado
177,8123.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Weld,Colorado
178,8125.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Yuma,Colorado
179,10005.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Sussex,Delaware
180,12003.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Baker,Florida
181,12005.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Bay,Florida
182,12007.0,George W. Bush,George W. Bush,John McCain,Mitt Romney,Donald Trump,republican,republican,republican,republican,republican,False,False,False,False,Bradford,Florida
